2.258999999999999897e-01,2.296999999999999875e-01,2.509000000000000119e-01,2.313000000000000056e-01,2.411000000000000087e-01
2.758999999999999786e-01,2.823999999999999844e-01,3.053000000000000158e-01,2.912000000000000144e-01,3.043000000000000149e-01
3.221999999999999864e-01,3.320000000000000173e-01,3.541000000000000258e-01,3.479999999999999760e-01,3.633000000000000118e-01
3.765999999999999903e-01,3.769000000000000128e-01,3.934000000000000274e-01,4.033999999999999808e-01,4.183000000000000052e-01
4.229999999999999871e-01,4.336999999999999744e-01,4.452999999999999736e-01,4.562999999999999834e-01,4.737999999999999989e-01
4.762000000000000122e-01,4.818000000000000060e-01,4.937000000000000277e-01,5.135999999999999455e-01,5.300000000000000266e-01
5.211000000000000076e-01,5.289000000000000368e-01,5.389000000000000457e-01,5.645999999999999908e-01,5.774000000000000243e-01
5.604999999999999982e-01,5.698999999999999622e-01,5.816999999999999948e-01,6.079999999999999849e-01,6.216000000000000414e-01
6.008000000000000007e-01,6.072999999999999510e-01,6.172999999999999599e-01,6.492999999999999883e-01,6.673999999999999932e-01
6.401999999999999913e-01,6.419000000000000261e-01,6.543999999999999817e-01,6.908999999999999586e-01,7.056999999999999940e-01
6.714999999999999858e-01,6.780000000000000471e-01,6.854999999999999982e-01,7.234000000000000430e-01,7.358999999999999986e-01
7.095000000000000195e-01,7.157000000000000028e-01,7.167999999999999927e-01,7.610999999999999988e-01,7.721999999999999975e-01
7.399999999999999911e-01,7.467000000000000304e-01,7.516000000000000458e-01,7.944999999999999840e-01,8.044000000000000039e-01
7.694999999999999618e-01,7.744999999999999662e-01,7.779000000000000359e-01,8.189999999999999503e-01,8.296000000000000041e-01
7.934999999999999831e-01,7.983999999999999986e-01,8.016999999999999682e-01,8.431999999999999496e-01,8.518999999999999906e-01
8.156999999999999806e-01,8.212000000000000410e-01,8.243000000000000327e-01,8.669999999999999929e-01,8.738000000000000211e-01
8.375000000000000222e-01,8.411999999999999478e-01,8.446000000000000174e-01,8.813999999999999613e-01,8.913999999999999702e-01
8.581999999999999629e-01,8.608000000000000096e-01,8.631999999999999673e-01,8.977000000000000535e-01,9.050000000000000266e-01
8.737000000000000322e-01,8.774999999999999467e-01,8.784999999999999476e-01,9.145999999999999686e-01,9.186999999999999611e-01
8.911000000000000032e-01,8.943999999999999728e-01,8.934999999999999609e-01,9.257999999999999563e-01,9.304999999999999938e-01
9.028000000000000469e-01,9.056999999999999496e-01,9.050000000000000266e-01,9.354000000000000092e-01,9.394000000000000128e-01
