2.107999999999999874e-01,2.172000000000000042e-01,2.328000000000000069e-01,2.033999999999999975e-01,2.081000000000000072e-01,2.164000000000000090e-01
2.544000000000000150e-01,2.594000000000000195e-01,2.746999999999999997e-01,2.459999999999999964e-01,2.528000000000000247e-01,2.594000000000000195e-01
2.997000000000000219e-01,3.054000000000000048e-01,3.217999999999999750e-01,2.953999999999999959e-01,3.029999999999999916e-01,3.071999999999999731e-01
3.459999999999999742e-01,3.543000000000000038e-01,3.680999999999999828e-01,3.347999999999999865e-01,3.466000000000000192e-01,3.548000000000000043e-01
3.897999999999999798e-01,3.952999999999999847e-01,4.127000000000000113e-01,3.855000000000000093e-01,3.922999999999999821e-01,3.996000000000000107e-01
4.295999999999999819e-01,4.354999999999999982e-01,4.495000000000000107e-01,4.257000000000000228e-01,4.379000000000000115e-01,4.418000000000000260e-01
4.687999999999999945e-01,4.744999999999999774e-01,4.903000000000000136e-01,4.640000000000000235e-01,4.738999999999999879e-01,4.778000000000000025e-01
5.071999999999999842e-01,5.162999999999999812e-01,5.290000000000000258e-01,5.052999999999999714e-01,5.113999999999999657e-01,5.190000000000000169e-01
5.503000000000000114e-01,5.588999999999999524e-01,5.676999999999999824e-01,5.413999999999999924e-01,5.516999999999999682e-01,5.578999999999999515e-01
5.873000000000000442e-01,5.946000000000000174e-01,6.057000000000000162e-01,5.806000000000000050e-01,5.907999999999999918e-01,5.943000000000000504e-01
6.250999999999999890e-01,6.290999999999999925e-01,6.347000000000000419e-01,6.183999999999999497e-01,6.247000000000000330e-01,6.280000000000000027e-01
6.570000000000000284e-01,6.600000000000000311e-01,6.701000000000000290e-01,6.535999999999999588e-01,6.583999999999999853e-01,6.622999999999999998e-01
6.835999999999999854e-01,6.895999999999999908e-01,6.938999999999999613e-01,6.790000000000000480e-01,6.846999999999999753e-01,6.887999999999999678e-01
7.122000000000000552e-01,7.147000000000000020e-01,7.239999999999999769e-01,7.100999999999999535e-01,7.133000000000000451e-01,7.201999999999999513e-01
7.406000000000000361e-01,7.427000000000000268e-01,7.489000000000000101e-01,7.356000000000000316e-01,7.403999999999999471e-01,7.450999999999999845e-01
7.638000000000000345e-01,7.709000000000000297e-01,7.721999999999999975e-01,7.610000000000000098e-01,7.669000000000000261e-01,7.692999999999999838e-01
7.903000000000000025e-01,7.943000000000000060e-01,7.956999999999999629e-01,7.829000000000000403e-01,7.887999999999999456e-01,7.927999999999999492e-01
8.135999999999999899e-01,8.162000000000000366e-01,8.164000000000000146e-01,8.056999999999999718e-01,8.101000000000000423e-01,8.149999999999999467e-01
8.325000000000000178e-01,8.343000000000000416e-01,8.408999999999999808e-01,8.282000000000000473e-01,8.315000000000000169e-01,8.336999999999999966e-01
8.497000000000000108e-01,8.518999999999999906e-01,8.567000000000000171e-01,8.451999999999999513e-01,8.497999999999999998e-01,8.525000000000000355e-01
8.610999999999999766e-01,8.651999999999999691e-01,8.707000000000000295e-01,8.608999999999999986e-01,8.663999999999999480e-01,8.676000000000000378e-01
